"","PUBID","year","wage","age","numChildren","educ","school","experience","tenure","tenure2","fullTime","multipleLocations","unionized","marstat","region","urban","industry","autonomy","competitiveness","hazardous","regularity","teamwork"
"97",50,2006,925,23,0,"2.High school",FALSE,220,0.346153846,0.119822485,TRUE,1,0,"No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",3.929527779,3.2589,1.5579,1.0088,4.3151
"98",50,2007,875,24,1,"2.High school",FALSE,267,1.25,1.5625,TRUE,1,0,"No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",3.929527779,3.2589,1.5579,1.0088,4.3151
"99",50,2008,900,25,1,"2.High school",FALSE,270,1.307692308,1.710059172,TRUE,1,0,"No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",3.929527779,3.2589,1.5579,1.0088,4.3151
"101",50,2010,1192,27,1,"2.High school",FALSE,365,1.826923077,3.337647929,TRUE,1,0,"No romantic union",1,1,"Educational and Social Services",2.9368,2.7455,1.1644,1.0014,4.323932393
"102",50,2011,1315,28,1,"2.High school",FALSE,410,2.692307692,7.24852071,TRUE,1,1,"No romantic union",1,1,"Educational and Social Services",2.9368,2.7455,1.1644,1.0014,4.323932393
"103",50,2013,1400,30,1,"2.High school",FALSE,530,5,25,TRUE,1,1,"No romantic union",1,1,"Educational and Social Services",4.208400482,2.5575,1.089038219,1.08908,4.24282
"106",53,2002,617,18,0,"2.High school",FALSE,51,0.75,0.5625,FALSE,1,0,"No romantic union",1,1,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"107",53,2003,500,19,0,"2.High school",FALSE,87,0.692307692,0.479289941,TRUE,0,0,"No romantic union",1,1,"Educational and Social Services",4.201316667,1.86895,1,1.0315,4.593220339
"108",53,2004,1040,20,0,"2.High school",FALSE,144,1.096153846,1.201553254,TRUE,1,1,"No romantic union",1,1,"Information and Communications",3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"109",53,2005,1123,21,0,"2.High school",FALSE,199,2.153846154,4.639053254,TRUE,1,1,"No romantic union",1,1,"Information and Communications",3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"110",53,2006,1250,22,0,"2.High school",FALSE,246,3.057692308,9.349482249,TRUE,1,0,"No romantic union",1,1,"Information and Communications",3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"111",53,2007,1200,23,0,"2.High school",FALSE,295,0.769230769,0.591715976,TRUE,1,0,"No romantic union",1,1,"Information and Communications",3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"112",53,2008,1200,24,0,"2.High school",FALSE,353,1.884615385,3.551775148,TRUE,0,0,"No romantic union",1,1,"Information and Communications",3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"113",53,2009,1378,25,0,"2.High school",FALSE,396,2.711538462,7.352440828,TRUE,1,0,"No romantic union",1,1,"Information and Communications",3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"114",53,2010,1400,26,0,"2.High school",FALSE,454,3.826923077,14.64534024,TRUE,1,0,"No romantic union",1,1,"Information and Communications",3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"115",53,2011,1300,27,0,"2.High school",FALSE,509,4.884615385,23.85946746,TRUE,1,0,"No romantic union",1,1,"Information and Communications",3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"116",53,2013,1450,29,0,"2.High school",FALSE,613,6.884615385,47.39792899,TRUE,1,0,"No romantic union",1,1,"Information and Communications",3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"120",59,2000,742,19,0,"2.High school",TRUE,175,1.038461538,1.078402367,FALSE,0,0,"No romantic union",1,1,"Educational and Social Services",4.285410924,2.6186,1.3415,1.3785,4.832
"122",59,2003,688,22,0,"2.High school",FALSE,291,1,1,TRUE,1,0,"No romantic union",1,1,"Educational and Social Services",4.559479782,3.717,1.0967,1.1355,4.6702
"123",59,2004,750,23,0,"2.High school",FALSE,348,2.096153846,4.393860947,TRUE,1,0,"No romantic union",1,1,"Other Services",4.121580775,3.293733333,1.073066667,1.358642757,4.306466667
"125",59,2006,1432,25,0,"2.High school",FALSE,430,0.326923077,0.106878698,TRUE,1,0,"No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",4.217974043,3.503542958,1.5584,1.234,4.429340838
"126",59,2007,1231,26,0,"2.High school",FALSE,477,1.230769231,1.514792899,TRUE,1,0,"No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",4.217974043,3.503542958,1.5584,1.234,4.429340838
"127",59,2008,750,27,0,"2.High school",FALSE,518,0.769230769,0.591715976,TRUE,0,0,"No romantic union",1,1,"Information and Communications",4.217974043,3.503542958,1.5584,1.234,4.429340838
"128",59,2011,1000,30,0,"2.High school",FALSE,594,0.269230769,0.072485207,FALSE,1,0,"Cohabiting",1,1,"Retail Trade",4.210253333,3.003049848,1.099559956,1.615080754,4.25585
"131",81,2005,3714,21,0,"1.Less than HS",FALSE,41,0.269230769,0.072485207,FALSE,1,0,"No romantic union",1,1,"Finance, Insurance, Real Estate, and Rental and Leasing",3.57160389,2.724372437,1,1.0512,3.924892489
"132",81,2009,708,25,0,"1.Less than HS",FALSE,107,1.269230769,1.610946746,FALSE,0,0,"No romantic union",1,1,"Educational and Social Services",4.208400482,2.5575,1.089038219,1.08908,4.24282
"134",81,2011,226,27,0,"1.Less than HS",FALSE,195,0.884615385,0.782544379,TRUE,0,0,"No romantic union",1,1,"Other Services",4.078890236,2.273736313,1.11105,1.2386,4.19740987
"136",86,1998,250,18,0,"1.Less than HS",TRUE,26,0.5,0.25,FALSE,0,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"137",86,1999,214,19,0,"2.High school",FALSE,48,0.923076923,0.852071006,FALSE,0,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"139",86,2001,750,21,0,"2.High school",FALSE,104,0.75,0.5625,FALSE,1,0,"Cohabiting",1,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
"140",86,2002,800,22,0,"2.High school",FALSE,152,0.865384615,0.748890533,FALSE,1,0,"Cohabiting",1,1,"Other Services",4.078,3.096190381,1.1232,1.189,4.215
"141",86,2003,900,23,0,"2.High school",TRUE,205,1.884615385,3.551775148,TRUE,1,0,"Cohabiting",1,1,"Other Services",4.078,3.096190381,1.1232,1.189,4.215
"142",86,2004,500,24,0,"2.High school",TRUE,234,2.442307692,5.964866864,TRUE,1,0,"Cohabiting",1,1,"Other Services",4.078,3.096190381,1.1232,1.189,4.215
"144",86,2008,1625,27,0,"4.College",TRUE,347,0.769230769,0.591715976,TRUE,1,0,"Married",1,1,"Transportation and Warehousing",4.142253975,3.218491317,1.334470383,1.322563083,4.110219773
"145",86,2009,1688,28,2,"4.College",TRUE,392,1.634615385,2.671967456,TRUE,1,0,"Married",1,1,"Transportation and Warehousing",4.142253975,3.218491317,1.334470383,1.322563083,4.110219773
"146",86,2010,1888,30,2,"4.College",TRUE,449,2.730769231,7.457100592,TRUE,1,0,"Married",1,1,"Transportation and Warehousing",4.142253975,3.218491317,1.334470383,1.322563083,4.110219773
"147",86,2011,1872,30,2,"4.College",FALSE,497,3.653846154,13.35059172,TRUE,1,0,"Married",1,1,"Transportation and Warehousing",4.142253975,3.218491317,1.334470383,1.322563083,4.110219773
"148",86,2013,1822,33,2,"4.College",FALSE,613,5.884615385,34.62869822,TRUE,1,0,"Married",1,1,"Transportation and Warehousing",4.142253975,3.218491317,1.334470383,1.322563083,4.110219773
"149",100,1998,550,17,0,"1.Less than HS",TRUE,35,0.673076923,0.453032544,FALSE,1,0,"No romantic union",1,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
"150",100,1999,515,18,0,"1.Less than HS",TRUE,82,0.269230769,0.072485207,FALSE,1,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.352571931,2.04099795,1.201989901,1.2773,4.113444328
"164",104,1998,625,18,0,"2.High school",TRUE,150,2.884615385,8.321005917,FALSE,0,0,"No romantic union",1,1,"Retail Trade",3.607358199,2.529413235,1.788719718,1.225075,4.174620634
"165",104,1999,700,19,0,"2.High school",TRUE,203,3.903846154,15.24001479,FALSE,0,0,"No romantic union",1,1,"Retail Trade",3.607358199,2.529413235,1.788719718,1.225075,4.174620634
"166",104,2000,515,20,0,"2.High school",TRUE,234,0.288461538,0.083210059,FALSE,1,0,"No romantic union",1,1,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"167",104,2001,800,21,0,"2.High school",TRUE,280,4.269230769,18.22633136,FALSE,0,0,"No romantic union",1,1,"Retail Trade",3.607358199,2.529413235,1.788719718,1.225075,4.174620634
"168",104,2002,1750,22,0,"4.College",FALSE,331,0.461538462,0.213017751,TRUE,1,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.136636256,2.4783,1,1.0588,4.255474453
"169",104,2003,1820,22,0,"4.College",FALSE,369,1.192307692,1.421597633,TRUE,0,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.136636256,2.4783,1,1.0588,4.255474453
"170",104,2004,1350,24,0,"4.College",FALSE,425,0.288461538,0.083210059,TRUE,1,0,"No romantic union",1,1,"Health Care",4.013030244,3.231223122,1.0179982,1.1739,4.4473
"171",104,2005,1650,25,0,"4.College",FALSE,478,1.307692308,1.710059172,TRUE,1,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.733396742,2.4142,1,1.072,4.407
"172",104,2006,2148,26,0,"4.College",FALSE,527,2.596153846,6.740014793,TRUE,1,0,"No romantic union",1,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.02090425,2.8274,1.3291,1.1187,4.245575442
"173",104,2007,2500,26,0,"4.College",FALSE,570,3.423076923,11.71745562,TRUE,1,0,"No romantic union",1,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.134734777,2.9412,1.157084292,1.0324,4.5255
"175",104,2009,2448,28,0,"4.College",FALSE,665,1.038461538,1.078402367,TRUE,0,0,"Cohabiting",1,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.334528278,3.765073493,1.0952,1,4.31495
"176",104,2010,1850,30,0,"4.College",FALSE,699,0.326923077,0.106878698,TRUE,0,1,"Married",1,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.136636256,2.4783,1,1.0588,4.255474453
"177",104,2011,1500,30,0,"4.College",FALSE,741,0.788461538,0.621671598,TRUE,0,0,"Married",1,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.605733333,3.2675,1.3364,1,3.8994
"179",109,1999,515,17,0,"1.Less than HS",TRUE,21,0.403846154,0.163091716,FALSE,0,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.140506337,2.437256274,1.0192,1.1285,4.416641664
"180",109,2000,515,18,0,"2.High school",TRUE,26,0.5,0.25,FALSE,1,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.140506337,2.437256274,1.0192,1.1285,4.416641664
"185",109,2005,1368,23,0,"4.College",FALSE,116,1.153846154,1.331360947,TRUE,1,0,"No romantic union",1,0,"Information and Communications",4.261497346,4.0801,1.0101,1.1412,4.3107
"187",109,2007,1812,25,0,"4.College",FALSE,213,3.019230769,9.115754438,TRUE,1,0,"Cohabiting",1,1,"Information and Communications",4.261497346,4.0801,1.0101,1.1412,4.3107
"188",109,2008,1923,26,0,"4.College",FALSE,269,4.096153846,16.77847633,TRUE,1,0,"No romantic union",1,1,"Information and Communications",4.261497346,4.0801,1.0101,1.1412,4.3107
"189",109,2009,2137,27,0,"4.College",FALSE,320,5.076923077,25.77514793,TRUE,1,0,"No romantic union",1,1,"Information and Communications",4.261497346,4.0801,1.0101,1.1412,4.3107
"190",109,2010,2000,28,0,"4.College",FALSE,377,6.173076923,38.1068787,TRUE,1,0,"Cohabiting",1,1,"Information and Communications",4.261497346,4.0801,1.0101,1.1412,4.3107
"191",109,2011,2350,29,0,"4.College",FALSE,429,7.173076923,51.45303254,TRUE,1,0,"Married",1,0,"Information and Communications",4.261497346,4.0801,1.0101,1.1412,4.3107
"192",109,2013,2180,31,1,"4.College",FALSE,500,8.538461538,72.90532544,FALSE,1,0,"Married",1,1,"Information and Communications",4.261497346,4.0801,1.0101,1.1412,4.3107
"195",110,2001,700,17,0,"1.Less than HS",TRUE,121,2.326923077,5.414571006,FALSE,1,0,"No romantic union",1,1,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"196",110,2002,675,18,0,"2.High school",FALSE,182,3.5,12.25,FALSE,0,0,"No romantic union",1,1,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"197",110,2003,675,19,0,"2.High school",TRUE,226,4.346153846,18.88905325,FALSE,1,0,"No romantic union",1,1,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"198",110,2004,800,20,0,"2.High school",TRUE,280,5.384615385,28.99408284,FALSE,1,0,"No romantic union",1,0,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"199",110,2005,750,21,0,"2.High school",TRUE,334,6.423076923,41.25591716,FALSE,1,0,"No romantic union",1,0,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"200",110,2006,825,22,0,"4.College",TRUE,392,7.538461538,56.82840237,FALSE,1,0,"No romantic union",1,0,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"203",110,2009,2000,25,0,"4.College",FALSE,452,1.115384615,1.24408284,TRUE,1,1,"No romantic union",1,0,"Educational and Social Services",4.201187777,2.608920297,1.2763,1.0123,4.355778526
"204",110,2010,2875,26,0,"4.College",FALSE,520,2.423076923,5.871301775,TRUE,1,1,"No romantic union",1,0,"Educational and Social Services",4.201187777,2.608920297,1.2763,1.0123,4.355778526
"205",110,2011,2885,27,0,"4.College",FALSE,559,3.173076923,10.06841716,TRUE,1,1,"Married",1,0,"Educational and Social Services",4.201187777,2.608920297,1.2763,1.0123,4.355778526
"206",110,2013,3205,29,0,"4.College",FALSE,678,5.461538462,29.82840237,TRUE,1,1,"Married",1,1,"Educational and Social Services",4.201187777,2.608920297,1.2763,1.0123,4.355778526
"209",114,1999,575,17,0,"1.Less than HS",TRUE,121,1.134615385,1.287352071,FALSE,1,1,"No romantic union",1,1,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"210",114,2000,700,18,0,"2.High school",FALSE,182,2.307692308,5.325443787,FALSE,1,1,"No romantic union",1,1,"Retail Trade",4.369858527,2.9767,1.5369,1.4556,4.5206
"211",114,2001,700,19,0,"2.High school",FALSE,227,3.173076923,10.06841716,FALSE,1,1,"No romantic union",1,1,"Retail Trade",4.369858527,2.9767,1.5369,1.4556,4.5206
"212",114,2002,1442,20,0,"2.High school",FALSE,283,0.307692308,0.094674556,TRUE,1,0,"No romantic union",1,1,"Finance, Insurance, Real Estate, and Rental and Leasing",3.880415318,3.3824,1,1.0226,3.7606
"213",114,2003,1442,21,0,"2.High school",FALSE,350,1.596153846,2.547707101,TRUE,1,0,"No romantic union",1,1,"Finance, Insurance, Real Estate, and Rental and Leasing",3.880415318,3.3824,1,1.0226,3.7606
"214",114,2004,16,22,0,"2.High school",FALSE,392,2.403846154,5.778476331,TRUE,1,0,"No romantic union",1,0,"Finance, Insurance, Real Estate, and Rental and Leasing",3.880415318,3.3824,1,1.0226,3.7606
"216",114,2007,1000,25,0,"2.High school",TRUE,515,0.615384615,0.378698225,FALSE,1,0,"No romantic union",1,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.535606303,2.984060319,1.7554,1.28184,3.76646
"217",114,2008,1300,26,0,"2.High school",TRUE,573,1.730769231,2.99556213,TRUE,1,0,"No romantic union",1,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.535606303,2.984060319,1.7554,1.28184,3.76646
"218",114,2009,1573,27,0,"2.High school",TRUE,617,2.576923077,6.640532544,TRUE,1,0,"No romantic union",1,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.535606303,2.984060319,1.7554,1.28184,3.76646
"219",114,2010,1545,28,0,"4.College",TRUE,665,3.5,12.25,TRUE,1,0,"No romantic union",1,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.9686,4.0371,2.8149,1.6296,4.6667
"221",114,2013,1300,31,0,"4.College",FALSE,812,1.75,3.0625,FALSE,1,0,"No romantic union",1,1,"Manufacturing - Nondurable Goods",3.9686,4.0371,2.8149,1.6296,4.6667
"226",148,1999,515,17,1,"1.Less than HS",TRUE,22,0.423076923,0.178994083,FALSE,1,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"228",148,2001,785,19,1,"1.Less than HS",FALSE,69,0.384615385,0.147928994,FALSE,1,0,"No romantic union",1,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
"230",148,2003,300,21,1,"2.High school",FALSE,132,1.096153846,1.201553254,TRUE,1,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"231",148,2004,315,22,1,"2.High school",FALSE,192,2.25,5.0625,FALSE,1,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
